"ids","names","popularity","followers","genres","first_release","last_release","num_releases","num_tracks","monthly_listeners","fuente","log_followers","log_monthly_listeners","z_monthly_listeners","z_followers","z_popularity","indice_demanda_digital","nivel_demanda_digital"
"5lPsVvHVDr6R5mDxRUXdOs","a1",45,493898,"boy band",2010,2023,11,1,527208,"base_featured",5.69363814684403,5.72198281550282,0.893946996967808,1.42149618487778,0.836971218844421,1.05080480023,"demanda_media"
"4QcudLddRQCbX8wrs6i2Gt","a36",54,62712,"swedish hip hop, swedish trap pop",2021,2024,20,1,1134890,"base_featured",4.79735757660508,6.05495415195052,1.10061322196603,0.736516612758344,1.25401281022728,1.03038088165055,"demanda_media"
"5Wg2b4Mp42gicxEeDNawf7","a7s",64,60244,"pop dance, scandipop, uk dance",2022,2024,20,2,10219966,"base_featured",4.7799210087155,7.0094494934757,1.69304244159764,0.723190771265375,1.71739235620823,1.37787518969041,"demanda_alta"
"0OQ8y7heASb1vEX5WXvjCr","aaron cole",50,92990,"christian hip hop, christian pop, christian trap",2019,2024,20,2,804857,"base_featured",4.96844091802192,5.90571926514269,1.00798719888654,0.867266511720483,1.0686609918349,0.981304900813975,"demanda_media"
"5JZXYantGqgguYFt5pw1uH","aaron flemming",44,923,"chill guitar",2017,2024,11,1,324661,"base_featured",2.96567197122011,5.51143145968827,0.763263514303265,-0.66334327921658,0.790633264246326,0.296851166444337,"demanda_media"
"4dwDVC6lrMINxVBxETE1AB","aaron frazer",60,67328,"souldies",2017,2024,8,2,4765030,"base_featured",4.82820216418268,6.67806573038571,1.48736158007317,0.760089490607825,1.53204053781585,1.25983053616562,"demanda_alta"
"2rwALQ1SXdfUWPUd6WOfYS","aaron may",68,492980,"conscious hip hop",2018,2024,20,1,9403044,"base_featured",5.69283018143916,6.97326851450956,1.67058589497881,1.42087869988961,1.90274417460061,1.66473625648968,"demanda_alta"
"2tjfjMlrGuA2b7cPCAEswA","aaron mcbee",34,10616," country , rock , modern ",2021,2023,7,1,112106,"base_featured",4.02600181735718,5.04963273093984,0.476637641344952,0.147010429688211,0.327253718265374,0.316967263099512,"demanda_media"
"57ALvbCBaCkNlgTOSiUPdT","aaron neville",54,128241," soul ",1966,2023,20,1,1187010,"base_featured",5.10803028244489,6.07445474356888,1.11271670720291,0.973947239039364,1.25401281022728,1.11355891882319,"demanda_media"
"6xbMbFrQZYm4BtqPQEwhu5","aaron pauley",40,466," rock ",2022,2024,2,1,389170,"base_featured",2.66931688056611,5.59014047031877,0.812116050001652,-0.889831713677978,0.605281445853945,0.175855260725873,"demanda_media"
